%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1446039167349287945,1,1446039166943279981,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349571861,2,1446039166963517904,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349609528,3,1446039166990941047,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349678945,4,1446039167033634901,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349746028,5,1446039167065067052,robocape_mag,-36.3,-24.6,52.5,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349808778,6,1446039167092935085,robocape_mag,-36.3,-24.6,52.5,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349841778,7,1446039167124120950,robocape_mag,-36.3,-24.6,52.5,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349872820,8,1446039167156611919,robocape_mag,-36.3,-24.6,52.5,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349903695,9,1446039167192611932,robocape_mag,-36.3,-24.6,52.5,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167349992903,10,1446039167255098104,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167361117570,11,1446039167283165931,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167362966111,12,1446039167305360078,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167363506861,13,1446039167346888065,robocape_mag,-35.1,-24.6,51.9,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167380314986,14,1446039167372566938,robocape_mag,-34.2,-24.3,52.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446039167403012528,15,1446039167398211956,robocape_mag,-34.2,-24.3,52.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
