%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1
1446034079540253285,REMOTEmsg,2,2,0,1100.0,1495.0
1446034079592469493,REMOTEmsg,2,2,0,1102.0,1505.0
1446034079653000368,REMOTEmsg,2,2,0,1100.0,1565.0
1446034079722861577,REMOTEmsg,2,2,0,1099.0,1699.0
1446034079793152493,REMOTEmsg,2,2,0,1102.0,1799.0
1446034079850891660,REMOTEmsg,2,2,0,1100.0,1804.0
1446034079920138160,REMOTEmsg,2,2,0,1102.0,1656.0
1446034079989792618,REMOTEmsg,2,2,0,1102.0,1495.0
1446034080047433785,REMOTEmsg,2,2,0,1100.0,1375.0
1446034080112812827,REMOTEmsg,2,2,0,1100.0,1297.0
1446034080189114535,REMOTEmsg,2,2,0,1102.0,1463.0
1446034080244963827,REMOTEmsg,2,2,0,1100.0,1569.0
1446034080311201202,REMOTEmsg,2,2,0,1098.0,1636.0
1446034080387664952,REMOTEmsg,2,2,0,1100.0,1629.0
1446034080442032160,REMOTEmsg,2,2,0,1100.0,1463.0
1446034080507551785,REMOTEmsg,2,2,0,1099.0,1333.0
1446034080585939785,REMOTEmsg,2,2,0,1100.0,1327.0
1446034080641339869,REMOTEmsg,2,2,0,1099.0,1509.0
1446034080706289619,REMOTEmsg,2,2,0,1100.0,1590.0
1446034080781233244,REMOTEmsg,2,2,0,1100.0,1598.0
1446034080840671077,REMOTEmsg,2,2,0,1100.0,1547.0
1446034080903499536,REMOTEmsg,2,2,0,1102.0,1430.0
1446034080971318536,REMOTEmsg,2,2,0,1102.0,1417.0
1446034081041150077,REMOTEmsg,2,2,0,1102.0,1574.0
1446034081099601369,REMOTEmsg,2,2,0,1099.0,1662.0
1446034081167512619,REMOTEmsg,2,2,0,1102.0,1667.0
1446034081237612369,REMOTEmsg,2,2,0,1099.0,1661.0
1446034081296890494,REMOTEmsg,2,2,0,1099.0,1497.0
1446034081363619994,REMOTEmsg,2,2,0,1093.0,1503.0
1446034081436638536,REMOTEmsg,2,2,0,1102.0,1495.0
1446034081493374452,REMOTEmsg,2,2,0,1100.0,1474.0
1446034081559234119,REMOTEmsg,2,2,0,1100.0,1371.0
1446034081633747703,REMOTEmsg,2,2,0,1102.0,1335.0
1446034081692309994,REMOTEmsg,2,2,0,1099.0,1373.0
1446034081756607786,REMOTEmsg,2,2,0,1100.0,1473.0
1446034081831426036,REMOTEmsg,2,2,0,1100.0,1503.0
1446034081892658994,REMOTEmsg,2,2,0,1100.0,1497.0
1446034081953620244,REMOTEmsg,2,2,0,1102.0,1498.0
1446034082025929828,REMOTEmsg,2,2,0,1100.0,1623.0
1446034082090643578,REMOTEmsg,2,2,0,1100.0,1728.0
1446034082150450994,REMOTEmsg,2,2,0,1102.0,1729.0
1446034082219742036,REMOTEmsg,2,2,0,1103.0,1716.0
1446034082288622120,REMOTEmsg,2,2,0,1099.0,1520.0
