%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1446038005069531470,1,1446038005053689956,robocape,7.40323538647,4.53428098197,-23.5474204042,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.311456689485,0.00545948023466,0.251535564958,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.102985839844,-1.94715087891,10.2446960449,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005091701095,2,1446038005088677883,robocape,7.56124547729,4.55194088426,-23.425825334,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0870853676456,0.0207726565026,0.035153726389,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0490979003906,-1.73878417969,10.1201550293,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005121377262,3,1446038005118401050,robocape,8.04520350215,4.58743721989,-23.432843045,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.26578347679,0.0219710789932,-0.0384826777516,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00838256835938,-0.565224609375,10.0435144043,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005154834220,4,1446038005151740074,robocape,8.5563583625,4.59572460218,-23.2900655155,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.273240327842,0.0186421276306,0.0439421579863,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0814306640625,-0.803529052734,10.0842297363,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005190872053,5,1446038005187767982,robocape,9.43882017933,4.63418532423,-23.2834637215,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.477504783451,0.0247673981377,-0.0359526747161,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.252674560547,-1.43820922852,10.1153649902,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005221693053,6,1446038005218405008,robocape,10.4872569519,4.67521884236,-23.464098716,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.577373324329,0.00972053797879,-0.140215431393,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.750838623047,2.6860144043,10.0051940918,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005254672470,7,1446038005251610994,robocape,10.8635440208,4.66395873173,-23.2105985827,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.199603923701,0.0215716048296,0.103996440568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.392783203125,0.707728271484,9.93094848633,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005289340720,8,1446038005285459995,robocape,11.228590528,4.65037716158,-22.9963519218,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.196274972339,0.0173105470855,0.0833569421195,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.302969970703,0.384400634766,10.0231567383,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005321457637,9,1446038005318124055,robocape,11.579175444,4.65882546517,-22.9490526812,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.198272343156,0.0123836990689,-0.00825579937925,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.640667724609,0.451461181641,10.1752404785,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038005354598137,10,1446038005351440906,robocape,11.9594351123,4.70971955663,-23.152710272,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.228632379583,0.00812264132474,-0.147938598554,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.326920166016,1.77111694336,10.0291442871,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
