%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1446034222138371733,1,1446034222137025117,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.00532632218016,0.00918790576077,0.00958737992429,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.162861328125,0.689765625,10.249486084,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222192956233,2,1446034222189625978,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.00292947719909,0.00878843159726,0.00972053797879,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.13412109375,0.567619628906,10.2195483398,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222239833399,3,1446034222238493919,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0151800182135,0.0106526443603,0.00972053797879,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.135318603516,0.526904296875,10.1944006348,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222288449483,4,1446034222286886930,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0243679239742,0.0113184346328,0.00759000910673,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.132923583984,0.653840332031,10.2183508301,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222338407774,5,1446034222337050914,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0131826473959,0.0105194863058,0.00892158965177,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.122145996094,0.726888427734,10.2027832031,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222388472441,6,1446034222386965990,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.00759000910673,0.00892158965177,0.0102531701968,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.142503662109,0.694555664063,10.213560791,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222442748524,7,1446034222440967082,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.00159789665405,0.00892158965177,0.0101200121423,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.159268798828,0.541274414062,10.2015856934,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222489327066,8,1446034222487641096,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0154463343225,0.0105194863058,0.00878843159726,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.116158447266,0.565224609375,10.2147583008,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222539379316,9,1446034222537987947,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0209058145571,0.0111852765783,0.00865527354276,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.117355957031,0.652642822266,10.2171533203,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222588279816,10,1446034222586903095,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00705737688871,0.0103863282513,0.00918790576077,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.135318603516,0.723295898438,10.2015856934,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222643267316,11,1446034222641613960,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.102531701968,0.00226368692657,0.181361270234,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0443078613281,-0.223934326172,9.96926879883,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222688163275,12,1446034222686836957,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0713727172141,0.0133158054504,0.0930774800983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.283809814453,0.537681884766,10.2530786133,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222739410733,13,1446034222738095998,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.123171200416,0.0133158054504,0.122505410144,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0514929199219,-0.2682421875,10.2099682617,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446034222789443525,14,1446034222788074016,robocape,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.260989786828,0.0162452826495,0.00852211548825,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.408350830078,0.97716796875,10.387199707,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
