%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1446038274859887474,1,1446038274504225015,robocape_mag,4.35,16.35,25.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274897902057,2,1446038274529819011,robocape_mag,4.35,16.35,25.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274897965849,3,1446038274567543029,robocape_mag,10.95,14.55,24.6,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274898000974,4,1446038274598387002,robocape_mag,10.95,14.55,24.6,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274898403682,5,1446038274640933036,robocape_mag,10.95,14.55,24.6,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274898447515,6,1446038274665703058,robocape_mag,10.95,14.55,24.6,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274898479432,7,1446038274694766998,robocape_mag,10.95,14.55,24.6,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274898515724,8,1446038274727190017,robocape_mag,7.95,18.75,25.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274899635974,9,1446038274762428998,robocape_mag,7.95,18.75,25.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274910134682,10,1446038274825244903,robocape_mag,7.95,18.75,25.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274911605599,11,1446038274851248025,robocape_mag,7.95,18.75,25.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446038274911650849,12,1446038274876449108,robocape_mag,11.55,12.15,28.2,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
