%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1446038820279668984,1,1446038820276031017,robocape,4.93461191142,5.39315803666,30.2344072914,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0366184649886,0.017177389031,0.016112124595,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0634680175781,0.36404296875,10.0219592285,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820309971317,2,1446038820306720972,robocape,5.04167331067,5.4124610684,30.1684640835,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0640490242164,0.0159789665405,0.00532632218016,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0538879394531,0.720900878906,9.98363891602,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820352999859,3,1446038820341866016,robocape,5.12205303647,5.43391872733,30.1019811756,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.050200586548,0.0170442309765,0.00466053190764,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.01916015625,0.851429443359,10.0495019531,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820378459151,4,1446038820375453948,robocape,5.1244497089,5.45673704206,30.0357953331,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00932106381528,0.017710021249,0.00426105774413,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0443078613281,0.893342285156,10.0147741699,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820409926276,5,1446038820406806945,robocape,5.05885224911,5.48026791402,29.9805264041,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.0268979270098,0.0186421276306,0.00985369603329,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0143701171875,0.910107421875,9.98124389648,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820443174026,6,1446038820440221071,robocape,4.98126225642,5.50575810016,29.9109110822,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.0326237233535,0.0189084437396,0.00159789665405,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0526904296875,0.525706787109,10.0363293457,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820476669734,7,1446038820473700046,robocape,4.97334990266,5.54089263744,29.7729249019,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00705737688871,0.0203731823391,-0.0367516230431,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.102985839844,0.835861816406,10.0530944824,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820509675526,8,1446038820506673097,robocape,4.89779735464,5.56917311707,29.7326067259,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.033023197517,0.0219710789932,0.0173105470855,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0119750976563,0.286204833984,10.1333276367,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820543050692,9,1446038820540083885,robocape,4.86254638292,5.59438557066,29.6787741582,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.0113184346328,0.0197073920666,0.0099868540878,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0730480957031,0.411943359375,9.94531860352,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446038820576424067,10,1446038820573424100,robocape,4.89886878962,5.62269226247,29.5827765832,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0282295075548,0.0191747598486,-0.0134489635049,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.05748046875,0.338895263672,9.95729370117,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
