%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1452007976570190332,1,1452007976201025009,robocape_mag,15.15,-4.5,19.65,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976602387624,2,1452007976228331089,robocape_mag,15.15,-4.5,19.65,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976609659540,3,1452007976259505033,robocape_mag,16.35,-5.1,20.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976609875415,4,1452007976293222904,robocape_mag,16.35,-5.1,20.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976609942249,5,1452007976337246894,robocape_mag,16.35,-5.1,20.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976610002165,6,1452007976361459016,robocape_mag,16.35,-5.1,20.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976610071374,7,1452007976396817922,robocape_mag,16.35,-6.0,19.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976610104499,8,1452007976429944992,robocape_mag,16.65,-6.0,19.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976610173457,9,1452007976493901014,robocape_mag,16.65,-6.0,19.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976610206165,10,1452007976525932073,robocape_mag,16.65,-6.0,19.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976610239207,11,1452007976550261974,robocape_mag,16.65,-6.0,19.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976610274832,12,1452007976574150085,robocape_mag,16.05,-3.6,18.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976618964499,13,1452007976604000091,robocape_mag,16.05,-3.6,18.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976646911791,14,1452007976638082981,robocape_mag,16.05,-3.6,18.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976665550832,15,1452007976659482002,robocape_mag,16.05,-3.6,18.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976703722124,16,1452007976694926023,robocape_mag,16.05,-3.6,18.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976736651791,17,1452007976726913928,robocape_mag,13.05,-5.4,18.75,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1452007976768101124,18,1452007976759828090,robocape_mag,13.05,-5.4,18.75,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
