%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1446036723845452271,1,1446036723734253883,robocape,1480.0,1569.0
1446036723845521230,2,1446036723780967950,robocape,1473.0,1577.0
1446036723845586063,3,1446036723835864067,robocape,1472.0,1576.0
1446036723880132563,4,1446036723877342939,robocape,1480.0,1569.0
1446036723942314271,5,1446036723926882982,robocape,1480.0,1570.0
1446036723976866480,6,1446036723975630044,robocape,1478.0,1569.0
1446036724027088688,7,1446036724025372028,robocape,1472.0,1574.0
1446036724075534855,8,1446036724074218034,robocape,1474.0,1577.0
1446036724126557855,9,1446036724124439001,robocape,1481.0,1570.0
1446036724174086980,10,1446036724172810077,robocape,1481.0,1569.0
1446036724224180646,11,1446036724222434997,robocape,1478.0,1569.0
1446036724272672646,12,1446036724271374940,robocape,1477.0,1576.0
1446036724322788855,13,1446036724321074008,robocape,1476.0,1576.0
1446036724371759188,14,1446036724370194911,robocape,1480.0,1569.0
1446036724421477855,15,1446036724419692039,robocape,1480.0,1569.0
1446036724470196022,16,1446036724468746900,robocape,1481.0,1569.0
1446036724520877772,17,1446036724518611907,robocape,1474.0,1576.0
1446036724568574397,18,1446036724567228078,robocape,1476.0,1576.0
1446036724618325855,19,1446036724616425037,robocape,1478.0,1569.0
1446036724667572813,20,1446036724666325092,robocape,1482.0,1569.0
1446036724716311313,21,1446036724715054988,robocape,1482.0,1569.0
1446036724767399938,22,1446036724766141891,robocape,1476.0,1576.0
1446036724815174772,23,1446036724813621997,robocape,1476.0,1578.0
1446036724869314563,24,1446036724867974996,robocape,1480.0,1569.0
1446036724913526605,25,1446036724912250041,robocape,1482.0,1569.0
1446036724967300813,26,1446036724965987920,robocape,1474.0,1569.0
1446036725012152647,27,1446036725010831117,robocape,1476.0,1576.0
1446036725066400522,28,1446036725065157890,robocape,1476.0,1576.0
1446036725110689522,29,1446036725109385013,robocape,1482.0,1569.0
1446036725161003939,30,1446036725159130096,robocape,1481.0,1569.0
1446036725209366272,31,1446036725208010911,robocape,1476.0,1576.0
1446036725259346022,32,1446036725257653951,robocape,1476.0,1576.0
1446036725307877105,33,1446036725306576013,robocape,1474.0,1576.0
1446036725358975272,34,1446036725356383085,robocape,1481.0,1569.0
1446036725406927355,35,1446036725405179977,robocape,1481.0,1570.0
1446036725456577730,36,1446036725454868078,robocape,1474.0,1576.0
1446036725505041439,37,1446036725503746032,robocape,1476.0,1576.0
1446036725555860439,38,1446036725553550958,robocape,1480.0,1577.0
1446036725603664772,39,1446036725602355003,robocape,1480.0,1569.0
1446036725654591439,40,1446036725652865886,robocape,1480.0,1569.0
1446036725702239314,41,1446036725700933933,robocape,1477.0,1576.0
1446036725753686980,42,1446036725750227928,robocape,1476.0,1576.0
1446036725801056814,43,1446036725799737930,robocape,1481.0,1578.0
1446036725854843147,44,1446036725850192070,robocape,1482.0,1569.0
1446036725901301106,45,1446036725899827957,robocape,1481.0,1570.0
1446036725948802564,46,1446036725947526931,robocape,1474.0,1574.0
1446036726000855147,47,1446036725999315023,robocape,1473.0,1576.0
1446036726047568064,48,1446036726046175956,robocape,1481.0,1569.0
1446036726100830731,49,1446036726099256992,robocape,1481.0,1569.0
1446036726145858356,50,1446036726144622087,robocape,1484.0,1569.0
1446036726200567147,51,1446036726199111938,robocape,1472.0,1576.0
1446036726244713314,52,1446036726243397951,robocape,1476.0,1576.0
